,NN_ac,NN_corr,LSTM_ac,LSTM_corr
2L_40_0_0,80.23,0.868,76.54,0.826
2L_50_0_0,81.66,0.876,76.97,0.85
2L_60_0_0,81.21,0.877,77.52,0.833
2L_70_0_0,81.49,0.877,77.1,0.841
2L_80_0_0,82.04,0.878,72.53,0.819
2L_90_0_0,82.04,0.881,70.93,0.829
